client_hash_id,content_hash_id,predicted_label,proba_Declining,action,reason_code
client_08a6a72ff48e62c0,content_1516ec061fe1f8a5,Declining,0.7607906946118654,Refresh,"flagged on combined signal pattern, no single dominant factor"
client_3ffa76342f366962,content_7c47e5b8341f5d53,Declining,0.6750039418488565,Refresh,"flagged on combined signal pattern, no single dominant factor"
client_08a6a72ff48e62c0,content_e7b5dd4dff461ad2,Declining,0.6514533769073725,Refresh,position worse than typical decliner (5.8)
client_3ffa76342f366962,content_67ae6123bdbf9081,Declining,0.6379003141867307,Refresh,"flagged on combined signal pattern, no single dominant factor"
client_3ffa76342f366962,content_44ae99372709461a,Declining,0.5929934308059187,Refresh,"flagged on combined signal pattern, no single dominant factor"
client_08a6a72ff48e62c0,content_d4f022405d7854b5,Declining,0.5729142495798702,Refresh,position worse than typical decliner (7.4)
client_08a6a72ff48e62c0,content_86797912f7a91030,Declining,0.5710576637594452,Refresh,position worse than typical decliner (5.9)
client_08a6a72ff48e62c0,content_4583501696b1da5d,Declining,0.5709823711284109,Refresh,"flagged on combined signal pattern, no single dominant factor"
client_3ffa76342f366962,content_3d4c0a897ebc9abd,Declining,0.5495974532132483,Refresh,"flagged on combined signal pattern, no single dominant factor"
client_08a6a72ff48e62c0,content_78c2a75415bed757,Declining,0.5367030274680249,Refresh,position worse than typical decliner (5.0)
client_08a6a72ff48e62c0,content_d4582b0225e6d0c3,Declining,0.532689059230474,Refresh,position worse than typical decliner (6.8)
client_08a6a72ff48e62c0,content_747d45f6a60eafba,Declining,0.5323403005932278,Refresh,position worse than typical decliner (4.9)
client_08a6a72ff48e62c0,content_4c7d4d7f727e5f1b,Declining,0.5311282906162261,Refresh,position worse than typical decliner (7.6)
client_08a6a72ff48e62c0,content_537a06e2b248564f,Declining,0.5205050992978071,Refresh,position worse than typical decliner (5.3)
client_3ffa76342f366962,content_451adba9720cda3e,Declining,0.5116934839021161,Refresh,click volume below typical decliner (11)
client_08a6a72ff48e62c0,content_cac0e5b01a69377a,Declining,0.5100189235680697,Refresh,position worse than typical decliner (12.4)
client_08a6a72ff48e62c0,content_6e61fe8ab067fa06,Declining,0.49882525367638464,Monitor,position worse than typical decliner (5.1)
client_3ffa76342f366962,content_a48c13b3d6384efd,Declining,0.4965423788464687,Monitor,click volume below typical decliner (11)
client_3ffa76342f366962,content_637a4ff16937c404,Declining,0.49647079388777415,Monitor,position worse than typical decliner (6.5); click volume below typical decliner (11)
client_3ffa76342f366962,content_167c683dde4e8859,Declining,0.4930446472026897,Monitor,click volume below typical decliner (12)
client_3ffa76342f366962,content_79ded8484edd4f9c,Declining,0.4930446472026897,Monitor,click volume below typical decliner (12)
client_3ffa76342f366962,content_23ede2284998033d,Declining,0.482086675371469,Monitor,click volume below typical decliner (11)
client_08a6a72ff48e62c0,content_23d02a1d5ef7cbb1,Declining,0.4814144946618242,Monitor,"flagged on combined signal pattern, no single dominant factor"
client_9958f0a7ae1df715,content_1e99eb4c82225457,Declining,0.47840417911456096,Monitor,position worse than typical decliner (12.0); click volume below typical decliner (12)
client_3ffa76342f366962,content_e13b0a6f54e63c98,Declining,0.47497924409473774,Monitor,click volume below typical decliner (13)
client_08a6a72ff48e62c0,content_a44390fce9b7b7a2,Declining,0.4615810901542929,Monitor,"flagged on combined signal pattern, no single dominant factor"
client_08a6a72ff48e62c0,content_dbe9d927ee8bc48f,Declining,0.4612749507274062,Monitor,position worse than typical decliner (21.1); click volume below typical decliner (17)
client_3ffa76342f366962,content_81da28beb8f1dd19,Declining,0.4610743401614531,Monitor,position worse than typical decliner (5.7); click volume below typical decliner (11)
client_08a6a72ff48e62c0,content_ca0aa83ba028d4a2,Declining,0.4607850309500958,Monitor,position worse than typical decliner (8.7)
client_08a6a72ff48e62c0,content_f343acd1e0b9ddff,Declining,0.4586099706102442,Monitor,position worse than typical decliner (7.6)
